time,orientation of object,interval of finger
1610707196.627,1.41195408662679,30.0
1610707196.655,1.483633906764208,30.0
1610707196.794,1.3821102096733007,30.0
1610707196.832,1.3608887563682746,30.0
1610707196.857,1.4084805931238615,30.0
1610707196.887,1.359209572554867,30.0
1610707196.959,1.3650195064302062,30.0
1610707196.983,1.3870148894535748,30.0
1610707197.015,1.391283170681013,30.0
1610707197.055,1.4093216605634715,30.0
1610707197.136,1.4043855726413947,30.0
1610707197.169,1.4178056771606844,30.0
1610707197.237,1.417246175217973,30.0
1610707197.272,1.4243858246606176,30.0
1610707197.300,1.393238177213113,30.0
1610707197.339,1.413454232176216,30.0
1610707197.403,1.4251754542943553,30.0
1610707197.460,1.4438871926910932,30.0
1610707197.482,1.39312310195271,30.0
1610707197.506,1.4201500033854226,30.0
1610707197.567,1.4116029809233557,30.0
1610707197.607,1.4063043326437636,30.0
1610707197.636,1.4166221586487537,30.0
1610707197.737,1.4219919840397433,30.0
1610707197.766,1.4420837944340958,30.0
1610707197.799,1.4118884295226084,30.0
1610707197.830,1.401320848459085,30.0
1610707197.867,1.4330861182746197,30.0
1610707197.904,1.4461021313845088,30.0
1610707197.939,1.4016451894393558,30.0
1610707197.973,1.4051606195722746,30.0
1610707197.993,1.3954811605215776,30.0
1610707198.023,1.4053666366780908,30.0
1610707198.072,1.4056526166193217,30.0
1610707198.104,1.4134166623270072,30.0
1610707198.140,1.425123219774442,30.0
1610707198.178,1.4389298161186153,30.0
1610707198.204,1.4161219561299765,30.0
1610707198.280,1.422749228833156,30.0
1610707198.310,1.3962787441075555,30.0
1610707198.334,1.4044356691129871,30.0
1610707198.394,1.4204980611331042,30.0
1610707198.439,1.417112913565938,30.0
1610707198.468,1.4280746266353643,30.0
1610707198.505,1.4168994934543293,30.0
1610707198.569,1.4189468451386709,30.0
1610707198.599,1.4054781497847706,30.0
1610707198.642,1.4401508696784486,30.0
1610707198.701,1.4458477503877742,30.0
1610707198.736,1.4050972864646205,30.0
1610707198.759,1.4199295572902801,30.0
1610707198.800,1.4029626740247985,30.0
1610707198.869,1.4136560410573211,30.0
1610707198.938,1.424130968104186,30.0
1610707198.970,1.4422402246351091,30.0
1610707199.004,1.4500174709927554,30.0
1610707199.073,1.44066069451326,30.0
1610707199.103,1.4253930661846632,30.0
1610707199.131,1.4104287808320939,30.0
1610707199.225,1.3851882068990151,30.0
1610707199.259,1.401925224491049,30.0
1610707199.292,1.4295359491114685,30.0
1610707199.337,1.4276392831909939,30.0
1610707199.356,1.4077353836163509,30.0
1610707199.403,1.4140553631975528,30.0
1610707199.442,1.426590052321959,30.0
1610707199.473,1.4080040459802667,30.0
1610707199.491,1.4195222044476365,30.0
1610707199.540,1.4165413265266826,30.0
1610707199.570,1.4254160952984143,30.0
1610707199.598,1.4311947744224895,30.0
1610707199.631,1.4229255250973085,30.0
1610707199.670,1.3855090182786876,30.0
1610707199.688,1.4235456249450154,30.0
1610707199.743,1.3840210574899556,30.0
1610707199.770,1.416703675801418,30.0
1610707199.794,1.4113660506609567,30.0
1610707199.843,1.4164746849888716,30.0
1610707199.869,1.413243078353501,30.0
1610707199.890,1.4184558726886811,30.0
1610707199.963,1.4769764868863913,30.0
1610707200.002,1.468589184962713,30.0
1610707200.035,1.4770070363355505,30.0
1610707200.067,1.414453059126344,30.0
1610707200.102,1.423859063199092,30.0
1610707200.132,1.4048619271176443,30.0
1610707200.156,1.4203280044392357,30.0
1610707200.189,1.436982563682476,30.0
1610707200.224,1.4130553893896474,30.0
1610707200.266,1.4157795375507696,30.0
1610707200.295,1.397293200647017,30.0
1610707200.325,1.4197439156922702,30.0
1610707200.363,1.4168718496300976,30.0
1610707200.393,1.4296767875549525,30.0
1610707200.464,1.4085874228634017,30.0
1610707200.492,1.4187565979953316,30.0
1610707200.575,1.4450330552050306,30.0
1610707200.625,1.4426834981516028,30.0
1610707200.656,1.408203670872385,30.0
1610707200.724,1.4262472338883931,30.0
1610707200.755,1.397682655163719,30.0
1610707200.804,1.417779473676072,30.0
1610707200.824,1.4127360432279783,30.0
1610707200.858,1.44163454772353,30.0
1610707200.893,1.4143180219498392,30.0
1610707200.924,1.4369969233094795,30.0
1610707200.957,1.4345150313534678,30.0
1610707201.003,1.4283620001790756,30.0
1610707201.050,1.4431048068918437,30.0
1610707201.105,1.4402094517631825,30.0
1610707201.159,1.4817126551189932,30.0
1610707201.230,1.4456126313611848,30.0
1610707201.260,1.4526192514274,30.0
1610707201.297,1.4495318983448786,30.0
1610707201.328,1.4122971320662192,30.0
1610707201.361,1.4445216063096862,30.0
1610707201.399,1.418259764826528,30.0
1610707201.465,1.4523449603026015,30.0
1610707201.517,1.4313491495230644,30.0
1610707201.579,1.4148654869011679,30.0
1610707201.643,1.4128707194062469,30.0
1610707201.723,1.4283146481512028,30.0
1610707201.764,1.4300207386558665,30.0
1610707201.794,1.4060746909677435,30.0
1610707201.891,1.4064732883875244,30.0
1610707201.935,1.4272831216745465,30.0
1610707201.972,1.4315203945639465,30.0
1610707201.997,1.4042061235563699,30.0
1610707202.052,1.428124402101755,30.0
1610707202.079,1.4351643397752207,30.0
1610707202.103,1.4054801571394195,30.0
1610707202.130,1.4176943815615668,30.0
1610707202.165,1.4421229309880073,30.0
1610707202.204,1.4279535883008168,30.0
1610707202.233,1.442085633457581,30.0
1610707202.265,1.4582272602948765,30.0
1610707202.333,1.4332654016118642,30.0
1610707202.397,1.4355992282922139,30.0
1610707202.435,1.421944384123396,30.0
1610707202.466,1.4095783570610554,30.0
1610707202.501,1.4026550483229174,30.0
1610707202.550,1.4214017196256348,30.0
1610707202.602,1.4133700212438731,30.0
1610707202.641,1.4359375542086512,30.0
1610707202.755,1.431832077305439,30.0
1610707202.782,1.406745949689352,30.0
1610707202.836,1.4113187602921526,30.0
1610707202.867,1.420260519609921,30.0
1610707202.904,1.4368379662628679,30.0
1610707202.937,1.4366558277631933,30.0
1610707202.970,1.4339077874299884,30.0
1610707203.008,1.4293026594874982,30.0
1610707203.061,1.4314465175000273,30.0
1610707203.186,1.4207882096730746,30.0
1610707203.272,1.4310604534185905,30.0
1610707203.300,1.4352698462132072,30.0
