time,orientation of object,interval of finger
1608559380.124,0.027151523542879162,24.6
1608559380.194,-0.02878885569068902,24.6
1608559380.236,0.03752768525829961,24.6
1608559380.272,0.059225149865590236,24.6
1608559380.348,0.039055395518109416,24.6
1608559380.395,-0.0032436224616229654,24.6
1608559380.432,0.0848843892221458,24.6
1608559380.503,0.023370434693629157,24.6
1608559380.588,0.00011546860094661288,24.6
1608559380.654,0.021460253820311335,24.6
1608559380.737,0.02889028260737274,24.6
1608559380.784,0.05893686967444281,24.6
1608559380.813,-0.05067816357127742,24.6
1608559380.846,0.07186501449844096,24.6
1608559380.869,-0.04901478996369247,24.6
1608559380.926,-0.010837546108977364,24.6
1608559380.959,-0.02729492251417164,24.6
1608559380.988,0.049753563174477114,24.6
1608559381.011,-0.039850069374897976,24.6
1608559381.087,0.017435649540504146,24.6
1608559381.122,-0.03810495734540321,24.6
1608559381.143,-0.030660621552652118,24.6
1608559381.182,-0.04901502400987531,24.6
1608559381.216,-0.03541265009842439,24.6
1608559381.252,-0.05664616843384909,24.6
1608559381.269,-0.056355972335643746,24.6
1608559381.326,-0.06302251358319273,24.6
1608559381.350,-0.09354212723034426,24.6
1608559381.378,0.0012477838663769933,24.6
1608559381.435,-0.1431330983259548,24.6
1608559381.463,-0.001772158340720322,24.6
1608559381.493,-0.1170270635961241,24.6
1608559381.512,-0.12679556257666233,24.6
1608559381.563,-0.057580278396812984,24.6
1608559381.597,-0.020276768996528433,24.6
1608559381.656,-0.04790310349868298,24.6
1608559381.683,-0.03509061562357702,24.6
1608559381.717,-0.11874096808641149,24.6
1608559381.786,-0.10222075539112757,24.6
1608559381.821,-0.0696365415085101,24.6
1608559381.861,-0.10394795584565494,24.6
1608559381.887,-0.11864372122235628,24.6
1608559381.927,-0.1153270806155261,24.6
1608559381.970,-0.08024039610629284,24.6
1608559382.006,-0.06437879285290865,24.6
1608559382.046,-0.09180577415088897,24.6
1608559382.065,-0.03486008834416394,24.6
1608559382.125,-0.06396467362188898,24.6
1608559382.176,-0.13680158622804658,24.6
1608559382.223,-0.13887701877238517,24.6
1608559382.238,-0.11168123196666338,24.6
1608559382.275,-0.11463773774858617,24.6
1608559382.306,-0.13401571219032848,24.6
1608559382.335,-0.11599160566389391,24.6
1608559382.373,-0.12605338291975615,24.6
1608559382.413,-0.04206280530882182,24.6
1608559382.436,-0.1141841491551598,24.6
1608559382.480,-0.11706099952659019,24.6
1608559382.504,-0.14052812639870346,24.6
1608559382.556,-0.13172113063143415,24.6
1608559382.593,-0.1550870820966289,24.6
1608559382.653,-0.1194145562283758,24.6
1608559382.674,-0.0870757199224846,24.6
1608559382.728,-0.07811611224189735,24.6
1608559382.762,0.018864198969945206,24.6
1608559382.792,-0.045976214790894254,24.6
1608559382.820,-0.1414263932636555,24.6
1608559382.837,-0.10483396383651174,24.6
1608559382.893,-0.08685859027166419,24.6
1608559382.925,-0.09254221120182302,24.6
1608559382.956,-0.11175459167428373,24.6
1608559382.982,-0.12381686239018025,24.6
1608559383.007,-0.12779644843327373,24.6
1608559383.063,-0.11431056586410854,24.6
1608559383.080,-0.14329157253425737,24.6
1608559383.130,-0.15294255594028294,24.6
1608559383.147,-0.10867782790510457,24.6
1608559383.171,-0.1333188266784376,24.6
1608559383.215,-0.07564473078158053,24.6
