time,orientation of object,interval of finger
1608571669.566,-0.034062159102259626,21.2
1608571669.592,-0.02166624457656969,21.2
1608571669.625,-0.022835834070103162,21.2
1608571669.655,-0.014891649422251624,21.2
1608571669.698,-0.022576691067906565,21.2
1608571669.735,-0.03752049068662594,21.2
1608571669.758,-0.033197189984669376,21.2
1608571669.796,-0.031572719302221955,21.2
1608571669.827,-0.046861357898802955,21.2
1608571669.863,-0.03692835879320832,21.2
1608571669.891,-0.04464862023353622,21.2
1608571669.926,-0.04714848258078344,21.2
1608571669.979,-0.03531198359656266,21.2
1608571669.993,-0.040081155026578295,21.2
1608571670.026,-0.04051190475031491,21.2
1608571670.057,-0.03706474636821114,21.2
1608571670.089,-0.056160721277089,21.2
1608571670.127,-0.042469302147231394,21.2
1608571670.162,-0.045660874484130934,21.2
1608571670.188,-0.05791533118528363,21.2
1608571670.227,-0.07394376723805196,21.2
1608571670.259,-0.09103969765021466,21.2
1608571670.293,-0.12172173971845174,21.2
1608571670.327,-0.12593707454111447,21.2
1608571670.361,-0.14811698963732262,21.2
1608571670.400,-0.15965087624184718,21.2
1608571670.425,-0.18401584613414781,21.2
1608571670.458,-0.21090964775242454,21.2
1608571670.498,-0.2375386364537526,21.2
1608571670.533,-0.2558594565350843,21.2
1608571670.566,-0.3106844767923569,21.2
1608571670.600,-0.3647138763070512,21.2
1608571670.630,-0.4015818312962032,21.2
1608571670.661,-0.4531626972221504,21.2
1608571670.691,-0.5085369126123119,21.2
1608571670.725,-0.526201403191698,21.2
1608571670.764,-0.5257576604978818,21.2
1608571670.797,-0.5358326368550692,21.2
1608571670.852,-0.5434842568844208,21.2
1608571670.876,-0.5383937801881395,21.2
1608571670.898,-0.5351376347211524,21.2
1608571670.938,-0.5367375035852107,21.2
1608571670.964,-0.538649129275646,21.2
1608571671.001,-0.547783529063341,21.2
1608571671.033,-0.5353185787856526,21.2
1608571671.068,-0.5468279991382958,21.2
1608571671.105,-0.5461293411120329,21.2
1608571671.138,-0.5467414290040271,21.2
